火火高清源,#group#
CCTV15,http://gxyd.484947.xyz/PLTV/77777777/224/3221225693/index.m3u8?servicetype=3&IASHttpSessionId=OTT$广西移动
CCTV16,http://gxyd.484947.xyz/PLTV/77777777/224/3221225956/index.m3u8?servicetype=3&IASHttpSessionId=OTT$广西移动
CCTV17,http://gxyd.484947.xyz/PLTV/77777777/224/3221225766/index.m3u8?servicetype=3&IASHttpSessionId=OTT$广西移动
湖南卫视,http://gxyd.484947.xyz/PLTV/77777777/224/3221225719/index.m3u8?servicetype=3&IASHttpSessionId=OTT$广西移动
浙江卫视,http://gxyd.484947.xyz/PLTV/77777777/224/3221225731/index.m3u8?servicetype=3&IASHttpSessionId=OTT$广西移动
江苏卫视,http://gxyd.484947.xyz/PLTV/77777777/224/3221225722/index.m3u8?servicetype=3&IASHttpSessionId=OTT$广西移动
安徽卫视,http://gxyd.484947.xyz/PLTV/77777777/224/3221225701/index.m3u8?servicetype=3&IASHttpSessionId=OTT$广西移动
北京卫视,http://gxyd.484947.xyz/PLTV/77777777/224/3221225651/index.m3u8?servicetype=3&IASHttpSessionId=OTT$广西移动
东方卫视,http://gxyd.484947.xyz/PLTV/77777777/224/3221225718/index.m3u8?servicetype=3&IASHttpSessionId=OTT$广西移动
山东卫视,http://gxyd.484947.xyz/PLTV/77777777/224/3221225672/index.m3u8?servicetype=3&IASHttpSessionId=OTT$广西移动
广东卫视,http://gxyd.484947.xyz/PLTV/77777777/224/3221225666/index.m3u8?servicetype=3&IASHttpSessionId=OTT$广西移动
大湾区卫视,http://gxyd.484947.xyz/PLTV/77777777/224/3221225748/index.m3u8?servicetype=3&IASHttpSessionId=OTT$广西移动
深圳卫视,http://gxyd.484947.xyz/PLTV/77777777/224/3221225725/index.m3u8?servicetype=3&IASHttpSessionId=OTT$广西移动
东南卫视,http://gxyd.484947.xyz/PLTV/77777777/224/3221225904/index.m3u8?servicetype=3&IASHttpSessionId=OTT$广西移动
广西卫视,http://gxyd.484947.xyz/PLTV/77777777/224/3221225767/index.m3u8?servicetype=3&IASHttpSessionId=OTT$广西移动
贵州卫视,http://gxyd.484947.xyz/PLTV/77777777/224/3221225770/index.m3u8?servicetype=3&IASHttpSessionId=OTT$广西移动
海南卫视,http://gxyd.484947.xyz/PLTV/77777777/224/3221225752/index.m3u8?servicetype=3&IASHttpSessionId=OTT$广西移动
河北卫视,http://gxyd.484947.xyz/PLTV/77777777/224/3221225773/index.m3u8?servicetype=3&IASHttpSessionId=OTT$广西移动
河南卫视,http://gxyd.484947.xyz/PLTV/77777777/224/3221225806/index.m3u8?servicetype=3&IASHttpSessionId=OTT$广西移动
黑龙江卫视,http://gxyd.484947.xyz/PLTV/77777777/224/3221225734/index.m3u8?servicetype=3&IASHttpSessionId=OTT$广西移动
湖北卫视,http://gxyd.484947.xyz/PLTV/77777777/224/3221225721/index.m3u8?servicetype=3&IASHttpSessionId=OTT$广西移动
吉林卫视,http://gxyd.484947.xyz/PLTV/77777777/224/3221225678/index.m3u8?servicetype=3&IASHttpSessionId=OTT$广西移动
江西卫视,http://gxyd.484947.xyz/PLTV/77777777/224/3221225957/index.m3u8?servicetype=3&IASHttpSessionId=OTT$广西移动
康巴卫视,http://gxyd.484947.xyz/PLTV/77777777/224/3221226270/index.m3u8?servicetype=3&IASHttpSessionId=OTT$广西移动
辽宁卫视,http://gxyd.484947.xyz/PLTV/77777777/224/3221225779/index.m3u8?servicetype=3&IASHttpSessionId=OTT$广西移动
内蒙古卫视,http://gxyd.484947.xyz/PLTV/77777777/224/3221225751/index.m3u8?servicetype=3&IASHttpSessionId=OTT$广西移动
宁夏卫视,http://gxyd.484947.xyz/PLTV/77777777/224/3221225782/index.m3u8?servicetype=3&IASHttpSessionId=OTT$广西移动
青海卫视,http://gxyd.484947.xyz/PLTV/77777777/224/3221225705/index.m3u8?servicetype=3&IASHttpSessionId=OTT$广西移动
厦门卫视,http://gxyd.484947.xyz/PLTV/77777777/224/3221225823/index.m3u8?servicetype=3&IASHttpSessionId=OTT$广西移动
山西卫视,http://gxyd.484947.xyz/PLTV/77777777/224/3221225785/index.m3u8?servicetype=3&IASHttpSessionId=OTT$广西移动
陕西卫视,http://gxyd.484947.xyz/PLTV/77777777/224/3221225754/index.m3u8?servicetype=3&IASHttpSessionId=OTT$广西移动
四川卫视,http://gxyd.484947.xyz/PLTV/77777777/224/3221225757/index.m3u8?servicetype=3&IASHttpSessionId=OTT$广西移动
天津卫视,http://gxyd.484947.xyz/PLTV/77777777/224/3221225675/index.m3u8?servicetype=3&IASHttpSessionId=OTT$广西移动
西藏卫视,http://gxyd.484947.xyz/PLTV/77777777/224/3221225800/index.m3u8?servicetype=3&IASHttpSessionId=OTT$广西移动
西藏卫视,http://gxyd.484947.xyz/PLTV/77777777/224/3221225828/index.m3u8?servicetype=3&IASHttpSessionId=OTT$广西移动
新疆卫视,http://gxyd.484947.xyz/PLTV/77777777/224/3221225788/index.m3u8?servicetype=3&IASHttpSessionId=OTT$广西移动
延边卫视,http://gxyd.484947.xyz/PLTV/77777777/224/3221226273/index.m3u8?servicetype=3&IASHttpSessionId=OTT$广西移动
云南卫视,http://gxyd.484947.xyz/PLTV/77777777/224/3221225794/index.m3u8?servicetype=3&IASHttpSessionId=OTT$广西移动
甘肃卫视,http://gxyd.484947.xyz/PLTV/77777777/224/3221225764/index.m3u8?servicetype=3&IASHttpSessionId=OTT$广西移动
重庆卫视,http://gxyd.484947.xyz/PLTV/77777777/224/3221225745/index.m3u8?servicetype=3&IASHttpSessionId=OTT$广西移动
兵团卫视,http://gxyd.484947.xyz/PLTV/77777777/224/3221225795/index.m3u8?servicetype=3&IASHttpSessionId=OTT$广西移动


CCTV1,http://112.6.202.38:880/chs001.m3u8$烟台移动
CCTV2,http://112.6.202.38:880/chs002.m3u8$烟台移动
CCTV3,http://112.6.202.38:880/chs003.m3u8$烟台移动
CCTV4,http://112.6.202.38:880/chs004.m3u8$烟台移动
CCTV5,http://112.6.202.38:880/chs005.m3u8$烟台移动
CCTV5+,,http://112.6.202.38:880/chs006.m3u8$烟台移动
CCTV6,http://112.6.202.38:880/chs007.m3u8$烟台移动
CCTV7,http://112.6.202.38:880/chs008.m3u8$烟台移动
CCTV8,http://112.6.202.38:880/chs009.m3u8
CCTV9,http://112.6.202.38:880/chs010.m3u8
CCTV10,http://112.6.202.38:880/chs011.m3u8
CCTV11,http://112.6.202.38:880/chs012.m3u8
CCTV12,http://112.6.202.38:880/chs013.m3u8
CCTV13,http://112.6.202.38:880/chs014.m3u8
CCTV14,http://112.6.202.38:880/chs015.m3u8
CCTV15,http://112.6.202.38:880/chs016.m3u8
CCTV17,http://112.6.202.38:880/chs017.m3u8
山东卫视,http://112.6.202.38:880/chs018.m3u8$烟台移动
湖南卫视,http://112.6.202.38:880/chs019.m3u8$烟台移动
浙江卫视,http://112.6.202.38:880/chs020.m3u8$烟台移动
东方卫视,http://112.6.202.38:880/chs021.m3u8$烟台移动
江苏卫视,http://112.6.202.38:880/chs022.m3u8
北京卫视,http://112.6.202.38:880/chs023.m3u8
安徽卫视,http://112.6.202.38:880/chs024.m3u8
辽宁卫视,http://112.6.202.38:880/chs025.m3u8
深圳卫视,http://112.6.202.38:880/chs026.m3u8
东南卫视,http://112.6.202.38:880/chs027.m3u8
湖北卫视,http://112.6.202.38:880/chs028.m3u8
云南卫视,http://112.6.202.38:880/chs029.m3u8
青海卫视,http://112.6.202.38:880/chs030.m3u8
天津卫视,http://112.6.202.38:880/chs031.m3u8
广东卫视,http://112.6.202.38:880/chs032.m3u8
黑龙江卫视,http://112.6.202.38:880/chs033.m3u8
重庆卫视,http://112.6.202.38:880/chs034.m3u8
贵州卫视,http://112.6.202.38:880/chs035.m3u8
江西卫视,http://112.6.202.38:880/chs036.m3u8
海南卫视,http://112.6.202.38:880/chs037.m3u8
四川卫视,http://112.6.202.38:880/chs038.m3u8
河北卫视,http://112.6.202.38:880/chs077.m3u8
河南卫视,http://112.6.202.38:880/chs039.m3u8
吉林卫视,http://112.6.202.38:880/chs040.m3u8
甘肃卫视,http://112.6.202.38:880/chs041.m3u8
内蒙古卫视,http://112.6.202.38:880/chs042.m3u8
广西卫视,http://112.6.202.38:880/chs043.m3u8
吉林卫视,http://112.6.202.38:880/chs044.m3u8
陕西卫视,http://112.6.202.38:880/chs045.m3u8
宁夏卫视,http://112.6.202.38:880/chs046.m3u8
新疆卫视,http://112.6.202.38:880/chs047.m3u8
甘肃卫视,http://112.6.202.38:880/chs048.m3u8
厦门卫视,http://112.6.202.38:880/chs049.m3u8
延边卫视,http://112.6.202.38:880/chs051.m3u8
西藏卫视,http://112.6.202.38:880/chs052.m3u8
农林卫视,http://112.6.202.38:880/chs053.m3u8
兵团卫视,http://112.6.202.38:880/chs054.m3u8

CCTV1,http://39.165.39.49:19901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=0&authid=0$平顶山移动
CCTV2,http://39.165.39.49:19901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=0&authid=0$平顶山移动
CCTV3,http://39.165.39.49:19901/tsfile/live/1003_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV4,http://39.165.39.49:19901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV5,http://39.165.39.49:19901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV5+,http://39.165.39.49:19901/tsfile/live/1089_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV6,http://39.165.39.49:19901/tsfile/live/1006_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV7,http://39.165.39.49:19901/tsfile/live/1007_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV8,http://39.165.39.49:19901/tsfile/live/1008_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV9,http://39.165.39.49:19901/tsfile/live/1009_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV10,http://39.165.39.49:19901/tsfile/live/1010_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV11,http://39.165.39.49:19901/tsfile/live/1011_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV12,http://39.165.39.49:19901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV13,http://39.165.39.49:19901/tsfile/live/1084_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV14,http://39.165.39.49:19901/tsfile/live/1085_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV15,http://39.165.39.49:19901/tsfile/live/1086_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV17,http://39.165.39.49:19901/tsfile/live/1088_1.m3u8?key=txiptv&playlive=0&authid=0
河南卫视,http://39.165.39.49:19901/tsfile/live/1105_1.m3u8?key=txiptv&playlive=0&authid=0$平顶山移动
湖南卫视,http://39.165.39.49:19901/tsfile/live/1140_1.m3u8?key=txiptv&playlive=0&authid=0
浙江卫视,http://39.165.39.49:19901/tsfile/live/1127_1.m3u8?key=txiptv&playlive=0&authid=0
东方卫视,http://39.165.39.49:19901/tsfile/live/1128_1.m3u8?key=txiptv&playlive=0&authid=0
江苏卫视,http://39.165.39.49:19901/tsfile/live/1129_1.m3u8?key=txiptv&playlive=0&authid=0
北京卫视,http://39.165.39.49:19901/tsfile/live/1130_1.m3u8?key=txiptv&playlive=0&authid=0
广东卫视,http://39.165.39.49:19901/tsfile/live/1131_1.m3u8?key=txiptv&playlive=0&authid=0
山东卫视,http://39.165.39.49:19901/tsfile/live/1133_1.m3u8?key=txiptv&playlive=0&authid=0
安徽卫视,http://39.165.39.49:19901/tsfile/live/1134_1.m3u8?key=txiptv&playlive=0&authid=0
深圳卫视,http://39.165.39.49:19901/tsfile/live/1141_1.m3u8?key=txiptv&playlive=0&authid=0
湖北卫视,http://39.165.39.49:19901/tsfile/live/1143_1.m3u8?key=txiptv&playlive=0&authid=0
东南卫视,http://39.165.39.49:19901/tsfile/live/1149_1.m3u8?key=txiptv&playlive=0&authid=0


CCTV1,http://153.0.169.80:888/hls/1/index.m3u8$海南
CCTV2,http://153.0.169.80:888/hls/2/index.m3u8$海南
CCTV3,http://153.0.169.80:888/hls/3/index.m3u8$海南
CCTV4,http://153.0.169.80:888/hls/4/index.m3u8
CCTV5,http://153.0.169.80:888/hls/5/index.m3u8
CCTV6,http://153.0.169.80:888/hls/6/index.m3u8
CCTV7,http://153.0.169.80:888/hls/7/index.m3u8
CCTV8,http://153.0.169.80:888/hls/8/index.m3u8
CCTV9,http://153.0.169.80:888/hls/9/index.m3u8
CCTV10,http://153.0.169.80:888/hls/10/index.m3u8
CCTV11,http://153.0.169.80:888/hls/11/index.m3u8
CCTV12,http://153.0.169.80:888/hls/12/index.m3u8
CCTV13,http://153.0.169.80:888/hls/13/index.m3u8
海南卫视,http://153.0.169.80:888/hls/14/index.m3u8
三沙卫视,http://153.0.169.80:888/hls/16/index.m3u8
湖南卫视,http://153.0.169.80:888/hls/19/index.m3u8$海南
深圳卫视,http://153.0.169.80:888/hls/20/index.m3u8
广东卫视,http://153.0.169.80:888/hls/21/index.m3u8
山东卫视,http://153.0.169.80:888/hls/22/index.m3u8
北京卫视,http://153.0.169.80:888/hls/23/index.m3u8
安徽卫视,http://153.0.169.80:888/hls/24/index.m3u8
东方卫视,http://153.0.169.80:888/hls/25/index.m3u8
河北卫视,http://153.0.169.80:888/hls/26/index.m3u8
浙江卫视,http://153.0.169.80:888/hls/27/index.m3u8$海南
江苏卫视,http://153.0.169.80:888/hls/28/index.m3u8
辽宁卫视,http://153.0.169.80:888/hls/29/index.m3u8
天津卫视,http://153.0.169.80:888/hls/30/index.m3u8
湖北卫视,http://153.0.169.80:888/hls/31/index.m3u8



CCTV1,http://175.154.151.98:808/hls/1/index.m3u8$四川
CCTV2,http://175.154.151.98:808/hls/2/index.m3u8$四川
CCTV3,http://175.154.151.98:808/hls/3/index.m3u8$四川
CCTV4,http://175.154.151.98:808/hls/4/index.m3u8
CCTV5,http://175.154.151.98:808/hls/5/index.m3u8
CCTV5+,http://175.154.151.98:808/hls/6/index.m3u8
CCTV6,http://175.154.151.98:808/hls/7/index.m3u8
CCTV7,http://175.154.151.98:808/hls/8/index.m3u8
CCTV8,http://175.154.151.98:808/hls/9/index.m3u8
CCTV9,http://175.154.151.98:808/hls/10/index.m3u8
CCTV10,http://175.154.151.98:808/hls/11/index.m3u8
CCTV11,http://175.154.151.98:808/hls/12/index.m3u8
CCTV12,http://175.154.151.98:808/hls/13/index.m3u8
CCTV13,http://175.154.151.98:808/hls/14/index.m3u8
CCTV14,http://175.154.151.98:808/hls/15/index.m3u8
CCTV15,http://175.154.151.98:808/hls/16/index.m3u8
CCTV17,http://175.154.151.98:808/hls/17/index.m3u8
四川卫视,http://175.154.151.98:808/hls/26/index.m3u8
峨眉电影,http://175.154.151.98:808/hls/27/index.m3u8
康巴卫视,http://175.154.151.98:808/hls/28/index.m3u8
湖南卫视,http://175.154.151.98:808/hls/29/index.m3u8$四川
浙江卫视,http://175.154.151.98:808/hls/30/index.m3u8$四川
江苏卫视,http://175.154.151.98:808/hls/31/index.m3u8
东方卫视,http://175.154.151.98:808/hls/32/index.m3u8
北京卫视,http://175.154.151.98:808/hls/33/index.m3u8
辽宁卫视,http://175.154.151.98:808/hls/34/index.m3u8
深圳卫视,http://175.154.151.98:808/hls/35/index.m3u8
天津卫视,http://175.154.151.98:808/hls/36/index.m3u8
山东卫视,http://175.154.151.98:808/hls/37/index.m3u8
广东卫视,http://175.154.151.98:808/hls/38/index.m3u8
湖北卫视,http://175.154.151.98:808/hls/39/index.m3u8
黑龙江卫视,http://175.154.151.98:808/hls/40/index.m3u8
安徽卫视,http://175.154.151.98:808/hls/41/index.m3u8
重庆卫视,http://175.154.151.98:808/hls/42/index.m3u8
贵州卫视,http://175.154.151.98:808/hls/43/index.m3u8
江西卫视,http://175.154.151.98:808/hls/44/index.m3u8
河北卫视,http://175.154.151.98:808/hls/45/index.m3u8
东南卫视,http://175.154.151.98:808/hls/46/index.m3u8
河南卫视,http://175.154.151.98:808/hls/47/index.m3u8
广西卫视,http://175.154.151.98:808/hls/48/index.m3u8
吉林卫视,http://175.154.151.98:808/hls/49/index.m3u8
甘肃卫视,http://175.154.151.98:808/hls/50/index.m3u8
中国交通,http://175.154.151.98:808/hls/51/index.m3u8
金鹰纪实,http://175.154.151.98:808/hls/52/index.m3u8
厦门卫视,http://175.154.151.98:808/hls/54/index.m3u8
三沙卫视,http://175.154.151.98:808/hls/55/index.m3u8
山西卫视,http://175.154.151.98:808/hls/56/index.m3u8
海南卫视,http://175.154.151.98:808/hls/57/index.m3u8





CCTV1,http://222.223.41.27:8888/hls/1/index.m3u8$河北
CCTV2,http://222.223.41.27:8888/hls/2/index.m3u8$河北
CCTV3,http://222.223.41.27:8888/hls/3/index.m3u8$河北
CCTV4,http://222.223.41.27:8888/hls/4/index.m3u8
CCTV5,http://222.223.41.27:8888/hls/5/index.m3u8
CCTV6,http://222.223.41.27:8888/hls/6/index.m3u8
CCTV7,http://222.223.41.27:8888/hls/7/index.m3u8
CCTV8,http://222.223.41.27:8888/hls/8/index.m3u8
CCTV9,http://222.223.41.27:8888/hls/9/index.m3u8
CCTV10,http://222.223.41.27:8888/hls/10/index.m3u8
CCTV11,http://222.223.41.27:8888/hls/11/index.m3u8
CCTV12,http://222.223.41.27:8888/hls/12/index.m3u8
CCTV13,http://222.223.41.27:8888/hls/13/index.m3u8
CCTV14,http://222.223.41.27:8888/hls/14/index.m3u8
CCTV15,http://222.223.41.27:8888/hls/15/index.m3u8
河北卫视,http://222.223.41.27:8888/hls/16/index.m3u8
湖南卫视,http://222.223.41.27:8888/hls/27/index.m3u8$河北
浙江卫视,http://222.223.41.27:8888/hls/28/index.m3u8$河北
江苏卫视,http://222.223.41.27:8888/hls/29/index.m3u8
安徽卫视,http://222.223.41.27:8888/hls/30/index.m3u8
北京卫视,http://222.223.41.27:8888/hls/31/index.m3u8
天津卫视,http://222.223.41.27:8888/hls/32/index.m3u8
辽宁卫视,http://222.223.41.27:8888/hls/33/index.m3u8
山东卫视,http://222.223.41.27:8888/hls/34/index.m3u8
云南卫视,http://222.223.41.27:8888/hls/35/index.m3u8
河南卫视,http://222.223.41.27:8888/hls/36/index.m3u8
四川卫视,http://222.223.41.27:8888/hls/37/index.m3u8
江西卫视,http://222.223.41.27:8888/hls/38/index.m3u8
贵州卫视,http://222.223.41.27:8888/hls/39/index.m3u8
深圳卫视,http://222.223.41.27:8888/hls/40/index.m3u8
湖北卫视,http://222.223.41.27:8888/hls/41/index.m3u8
东方卫视,http://222.223.41.27:8888/hls/42/index.m3u8
重庆卫视,http://222.223.41.27:8888/hls/43/index.m3u8
东南卫视,http://222.223.41.27:8888/hls/44/index.m3u8
广东卫视,http://222.223.41.27:8888/hls/45/index.m3u8
广西卫视,http://222.223.41.27:8888/hls/46/index.m3u8
吉林卫视,http://222.223.41.27:8888/hls/47/index.m3u8


CCTV1,http://1.31.14.70:54321/hls/2/index.m3u8$蒙古
CCTV2,http://1.31.14.70:54321/hls/4/index.m3u8
CCTV3,http://1.31.14.70:54321/hls/6/index.m3u8
CCTV4,http://1.31.14.70:54321/hls/13/index.m3u8
CCTV5,http://1.31.14.70:54321/hls/7/index.m3u8
CCTV6,http://1.31.14.70:54321/hls/8/index.m3u8
CCTV7,http://1.31.14.70:54321/hls/9/index.m3u8
CCTV8,http://1.31.14.70:54321/hls/14/index.m3u8
CCTV9,http://1.31.14.70:54321/hls/10/index.m3u8
CCTV10,http://1.31.14.70:54321/hls/11/index.m3u8
CCTV11,http://1.31.14.70:54321/hls/16/index.m3u8
CCTV12,http://1.31.14.70:54321/hls/12/index.m3u8
CCTV13,http://1.31.14.70:54321/hls/19/index.m3u8
CCTV14,http://1.31.14.70:54321/hls/22/index.m3u8
内蒙古卫视,http://1.31.14.70:54321/hls/55/index.m3u8
北京卫视,http://1.31.14.70:54321/hls/25/index.m3u8
天津卫视,http://1.31.14.70:54321/hls/26/index.m3u8
湖南卫视,http://1.31.14.70:54321/hls/35/index.m3u8$蒙古
湖北卫视,http://1.31.14.70:54321/hls/39/index.m3u8
江苏卫视,http://1.31.14.70:54321/hls/3/index.m3u8
吉林卫视,http://1.31.14.70:54321/hls/5/index.m3u8
黑龙江卫视,http://1.31.14.70:54321/hls/15/index.m3u8
河北卫视,http://1.31.14.70:54321/hls/18/index.m3u8
浙江卫视,http://1.31.14.70:54321/hls/1/index.m3u8$蒙古
东方卫视,http://1.31.14.70:54321/hls/27/index.m3u8
广东卫视,http://1.31.14.70:54321/hls/28/index.m3u8
安徽卫视,http://1.31.14.70:54321/hls/29/index.m3u8
贵州卫视,http://1.31.14.70:54321/hls/33/index.m3u8
重庆卫视,http://1.31.14.70:54321/hls/34/index.m3u8
四川卫视,http://1.31.14.70:54321/hls/41/index.m3u8
山西卫视,http://1.31.14.70:54321/hls/23/index.m3u8
辽宁卫视,http://1.31.14.70:54321/hls/24/index.m3u8
宁夏卫视,http://1.31.14.70:54321/hls/30/index.m3u8
新疆卫视,http://1.31.14.70:54321/hls/31/index.m3u8
山东卫视,http://1.31.14.70:54321/hls/32/index.m3u8
广西卫视,http://1.31.14.70:54321/hls/36/index.m3u8
云南卫视,http://1.31.14.70:54321/hls/37/index.m3u8
江西卫视,http://1.31.14.70:54321/hls/42/index.m3u8
青海卫视,http://1.31.14.70:54321/hls/43/index.m3u8
河南卫视,http://1.31.14.70:54321/hls/44/index.m3u8
甘肃卫视,http://1.31.14.70:54321/hls/45/index.m3u8
陕西卫视,http://1.31.14.70:54321/hls/46/index.m3u8
西藏卫视,http://1.31.14.70:54321/hls/52/index.m3u8
深圳卫视,http://1.31.14.70:54321/hls/40/index.m3u8


CCTV1,http://114.242.62.109:888/hls/1/index.m3u8$北京
CCTV2,http://114.242.62.109:888/hls/2/index.m3u8
CCTV3,http://114.242.62.109:888/hls/3/index.m3u8
CCTV4,http://114.242.62.109:888/hls/4/index.m3u8
CCTV5,http://114.242.62.109:888/hls/5/index.m3u8
CCTV5+,http://114.242.62.109:888/hls/16/index.m3u8
CCTV6,http://114.242.62.109:888/hls/6/index.m3u8
CCTV7,http://114.242.62.109:888/hls/7/index.m3u8
CCTV8,http://114.242.62.109:888/hls/8/index.m3u8
CCTV9,http://114.242.62.109:888/hls/9/index.m3u8
CCTV10,http://114.242.62.109:888/hls/10/index.m3u8
CCTV11,http://114.242.62.109:888/hls/11/index.m3u8
CCTV12,http://114.242.62.109:888/hls/12/index.m3u8
CCTV13,http://114.242.62.109:888/hls/13/index.m3u8
CCTV14,http://114.242.62.109:888/hls/14/index.m3u8
CCTV15,http://114.242.62.109:888/hls/15/index.m3u8
北京卫视,http://114.242.62.109:888/hls/17/index.m3u8
湖南卫视,http://114.242.62.109:888/hls/28/index.m3u8
浙江卫视,http://114.242.62.109:888/hls/29/index.m3u8
江苏卫视,http://114.242.62.109:888/hls/30/index.m3u8
安徽卫视,http://114.242.62.109:888/hls/31/index.m3u8
天津卫视,http://114.242.62.109:888/hls/32/index.m3u8
辽宁卫视,http://114.242.62.109:888/hls/33/index.m3u8
山东卫视,http://114.242.62.109:888/hls/34/index.m3u8
云南卫视,http://114.242.62.109:888/hls/35/index.m3u8
兵团卫视,http://114.242.62.109:888/hls/36/index.m3u8
黑龙江卫视,http://114.242.62.109:888/hls/37/index.m3u8
四川卫视,http://114.242.62.109:888/hls/38/index.m3u8
江西卫视,http://114.242.62.109:888/hls/39/index.m3u8
贵州卫视,http://114.242.62.109:888/hls/40/index.m3u8
深圳卫视,http://114.242.62.109:888/hls/41/index.m3u8
湖北卫视,http://114.242.62.109:888/hls/42/index.m3u8
东方卫视,http://114.242.62.109:888/hls/43/index.m3u8
重庆卫视,http://114.242.62.109:888/hls/44/index.m3u8
东南卫视,http://114.242.62.109:888/hls/45/index.m3u8
河北卫视,http://114.242.62.109:888/hls/46/index.m3u8
广东卫视,http://114.242.62.109:888/hls/47/index.m3u8
广西卫视,http://114.242.62.109:888/hls/48/index.m3u8




CCTV1,http://go.bkpcp.top/mg/cctv1$咪咕
CCTV2,http://go.bkpcp.top/mg/cctv2$咪咕
CCTV3,http://go.bkpcp.top/mg/cctv3$咪咕
CCTV4,http://go.bkpcp.top/mg/cctv4$咪咕
CCTV5,http://go.bkpcp.top/mg/cctv5$咪咕
CCTV5+,http://go.bkpcp.top/mg/cctv5p$咪咕
CCTV6,http://go.bkpcp.top/mg/cctv6$咪咕
CCTV7,http://go.bkpcp.top/mg/cctv7$咪咕
CCTV8,http://go.bkpcp.top/mg/cctv8$咪咕
CCTV9,http://go.bkpcp.top/mg/cctv9$咪咕
CCTV10,http://go.bkpcp.top/mg/cctv10$咪咕
CCTV11,http://go.bkpcp.top/mg/cctv11$咪咕
CCTV12,http://go.bkpcp.top/mg/cctv12$咪咕
CCTV13,http://go.bkpcp.top/mg/cctv13$咪咕
CCTV14,http://go.bkpcp.top/mg/cctv14$咪咕
CCTV15,http://go.bkpcp.top/mg/cctv15$咪咕
CCTV17,http://go.bkpcp.top/mg/cctv17$咪咕

浙江卫视,http://go.bkpcp.top/mg/zjws$咪咕
广东卫视,http://go.bkpcp.top/mg/gdws$咪咕
江苏卫视,http://go.bkpcp.top/mg/jsws
东方卫视,http://go.bkpcp.top/mg/dfws
陕西卫视,http://go.bkpcp.top/mg/sxws
江西卫视,http://go.bkpcp.top/mg/jxws
湖北卫视,http://go.bkpcp.top/mg/hubws
吉林卫视,http://go.bkpcp.top/mg/jlws
青海卫视,http://go.bkpcp.top/mg/qhws
河南卫视,http://go.bkpcp.top/mg/hnws
